offense,fourth_down_decisions,actual_go_rate,expected_go_rate,aggressiveness_index,rank
Baylor,280,0.44285714285714284,0.28989066136227415,0.1529664814948687,1
Florida Atlantic,296,0.4189189189189189,0.27167376187653974,0.14724515704237917,2
Army,236,0.4872881355932203,0.3561830248402642,0.1311051107529561,3
North Texas,261,0.41762452107279696,0.2911986630869222,0.12642585798587475,4
Oregon State,263,0.35361216730038025,0.25018890002539745,0.1034232672749828,5
UAB,254,0.35039370078740156,0.2559731136814555,0.09442058710594609,6
West Virginia,292,0.3767123287671233,0.3019112870489601,0.07480104171816321,7
Arizona State,297,0.3602693602693603,0.28630545663011553,0.07396390363924477,8
Stanford,299,0.3010033444816054,0.2282180231702435,0.07278532131136187,9
Boston College,280,0.35714285714285715,0.28692228891397437,0.07022056822888278,10
Florida International,307,0.2964169381107492,0.228175534568832,0.06824140354191721,11
UTEP,309,0.313915857605178,0.24689911505290157,0.06701674255227641,12
Georgia State,271,0.2767527675276753,0.2113645985235616,0.0653881690041137,13
UCF,242,0.3305785123966942,0.27414470602554747,0.056433806371146755,14
Mississippi State,287,0.28222996515679444,0.2315747828995275,0.05065518225726695,15
Air Force,232,0.375,0.32552886073779497,0.04947113926220503,16
Delaware,106,0.3113207547169811,0.2631392402230259,0.04818151449395519,17
Syracuse,283,0.2862190812720848,0.23871841247350434,0.04750066879858045,18
UL Monroe,275,0.26545454545454544,0.2180534075004244,0.04740113795412104,19
Temple,299,0.26755852842809363,0.22051965006121133,0.04703887836688231,20
South Alabama,271,0.3025830258302583,0.2562272037387526,0.04635582209150574,21
Florida State,275,0.28363636363636363,0.2398214625632333,0.043814901073130325,22
Charlotte,294,0.2585034013605442,0.21722992515458944,0.041273476205954784,23
UTSA,302,0.2781456953642384,0.2376988799803,0.04044681538393838,24
Tulsa,316,0.28164556962025317,0.24196765146059565,0.039677918159657516,25
South Carolina,280,0.2892857142857143,0.2546075845535774,0.03467812973213691,26
South Florida,298,0.28859060402684567,0.2543220029118776,0.034268601114968045,27
Kent State,311,0.2315112540192926,0.1995418423851107,0.031969411634181905,28
Vanderbilt,225,0.26222222222222225,0.23167471212297838,0.030547510099243863,29
Troy,291,0.27491408934707906,0.24458718810825028,0.03032690123882878,30
Houston,301,0.29900332225913623,0.26877010337387763,0.030233218885258595,31
Kansas State,261,0.2988505747126437,0.26889190978634575,0.02995866492629795,32
Middle Tennessee,277,0.24187725631768953,0.21237699594171364,0.02950026037597589,33
Auburn,262,0.25190839694656486,0.22483808877960781,0.027070308166957047,34
Nevada,282,0.26595744680851063,0.23959371733581664,0.026363729472693997,35
Notre Dame,241,0.3278008298755187,0.3037014642305293,0.02409936564498938,36
Northern Illinois,295,0.2983050847457627,0.27517031075927684,0.02313477398648589,37
UCLA,268,0.2873134328358209,0.2644881961210895,0.02282523671473141,38
App State,266,0.2857142857142857,0.26333278374591845,0.022381501968367246,39
Rice,294,0.24489795918367346,0.22256880910550186,0.0223291500781716,40
Ole Miss,290,0.30689655172413793,0.2847761617428103,0.02212038998132765,41
Texas State,254,0.3110236220472441,0.28896838525472474,0.02205523679251936,42
TCU,245,0.30612244897959184,0.2865114774651475,0.019610971514444353,43
Cincinnati,251,0.2908366533864542,0.2723071857022614,0.01852946768419278,44
New Mexico,224,0.27232142857142855,0.25521557764903235,0.017105850922396193,45
Western Michigan,311,0.31511254019292606,0.29945636054503394,0.01565617964789212,46
Liberty,224,0.2857142857142857,0.27089739123245876,0.014816894481826937,47
Southern Miss,298,0.24161073825503357,0.2280537627958837,0.013556975459149856,48
Colorado State,286,0.26223776223776224,0.24892898279096026,0.013308779446801977,49
Texas Tech,296,0.28378378378378377,0.2706931118909955,0.013090671892788286,50
Washington,246,0.2682926829268293,0.25659315651405434,0.011699526412774941,51
BYU,282,0.2695035460992908,0.2585026295044801,0.011000916594810672,52
Utah State,293,0.24573378839590443,0.2354493743466313,0.010284414049273133,53
Rutgers,262,0.2900763358778626,0.28499590430225485,0.0050804315756077245,54
Kansas,213,0.27230046948356806,0.2675533925864561,0.004747076897111957,55
East Carolina,291,0.2611683848797251,0.25667522900186657,0.0044931558778585345,56
Navy,255,0.2784313725490196,0.2741325694288603,0.004298803120159345,57
Buffalo,322,0.2795031055900621,0.27738621283785236,0.0021168927522097203,58
Michigan State,282,0.2375886524822695,0.23652163530511708,0.001067017177152435,59
USC,224,0.2544642857142857,0.25435863277188714,0.00010565294239855971,60
Western Kentucky,279,0.25089605734767023,0.2510088677534401,-0.00011281040576988088,61
Maryland,279,0.26881720430107525,0.26903358973013947,-0.0002163854290642142,62
Pittsburgh,290,0.23793103448275862,0.2385180384188375,-0.0005870039360788837,63
Utah,268,0.25,0.25097680847306364,-0.0009768084730636395,64
Massachusetts,274,0.22627737226277372,0.22921843435729855,-0.0029410620945248267,65
Duke,300,0.25666666666666665,0.2599112276976783,-0.0032445610310116724,66
Bowling Green,287,0.24738675958188153,0.25235144919135266,-0.004964689609471135,67
Washington State,241,0.27800829875518673,0.2830054930923823,-0.004997194337195587,68
Jacksonville State,314,0.2484076433121019,0.2535172457676918,-0.00510960245558989,69
Ball State,298,0.21476510067114093,0.22040685823230358,-0.005641757561162641,70
California,296,0.2533783783783784,0.25962616616885137,-0.0062477877904729695,71
Tulane,283,0.2791519434628975,0.2857689035497615,-0.0066169600868639655,72
Illinois,252,0.25396825396825395,0.2606198113934763,-0.006651557425222332,73
Florida,255,0.20392156862745098,0.2108634263963101,-0.006941857768859111,74
Hawai'i,262,0.25572519083969464,0.264194674971549,-0.008469484131854388,75
Nebraska,256,0.2421875,0.2508501399894463,-0.008662639989446275,76
Akron,290,0.20344827586206896,0.21338246799301755,-0.009934192130948594,77
Memphis,258,0.27906976744186046,0.2894598230567022,-0.010390055614841742,78
Sam Houston,330,0.22121212121212122,0.2329871627503939,-0.01177504153827269,79
Coastal Carolina,287,0.23344947735191637,0.24532875081927558,-0.011879273467359203,80
Texas,313,0.26198083067092653,0.27404705782106364,-0.01206622715013711,81
Kentucky,235,0.2127659574468085,0.22701500619014692,-0.014249048743338405,82
Indiana,234,0.2692307692307692,0.2850869712297458,-0.015856201998976582,83
San Diego State,299,0.23745819397993312,0.2559148921132607,-0.018456698133327565,84
